Method,Percentile,Value
historical,1,174286.9148369617
historical,5,203450.47773155995
historical,10,224999.07180271493
historical,25,265252.90535948274
historical,50,310939.51725738304
historical,75,374665.92063380557
historical,90,441295.8547225263
historical,95,492417.3560813814
historical,99,590453.4504221331
parametric,1,157311.88163812956
parametric,5,194914.89856164757
parametric,10,215065.282263192
parametric,25,257021.3204258962
parametric,50,312883.9232626719
parametric,75,378275.3415455553
parametric,90,447809.9245621197
parametric,95,481921.16302901146
parametric,99,590662.3166821375
bootstrap,1,168387.73803973096
bootstrap,5,199377.9152567881
bootstrap,10,219268.4772776266
bootstrap,25,250731.0203914431
bootstrap,50,289335.8124042611
bootstrap,75,344115.2640460251
bootstrap,90,398718.1855377338
bootstrap,95,433066.75826112437
bootstrap,99,516518.1358220814
