Asset,Weight,Portfolio
SPY,2.0677704072629878e-16,Max Sharpe
QQQ,0.0,Max Sharpe
TLT,3.1921810502634597e-16,Max Sharpe
GLD,0.4305756683731806,Max Sharpe
AAPL,0.3281485379378939,Max Sharpe
MSFT,1.3121983490741008e-16,Max Sharpe
AMZN,0.1694280734661051,Max Sharpe
JPM,0.0718477202228196,Max Sharpe
XOM,3.6605231014515856e-17,Max Sharpe
SPY,1.338989687543242e-17,Min Volatility
QQQ,1.2468981932119268e-18,Min Volatility
TLT,0.25796241995464,Min Volatility
GLD,0.2795079357309857,Min Volatility
AAPL,0.2005446878560172,Min Volatility
MSFT,0.0406239359002116,Min Volatility
AMZN,1.777253511110317e-17,Min Volatility
JPM,0.0,Min Volatility
XOM,0.2213610205581452,Min Volatility
SPY,0.0899734810925859,Risk Parity
QQQ,0.0669254674405947,Risk Parity
TLT,0.1612349860584733,Risk Parity
GLD,0.1576742006563234,Risk Parity
AAPL,0.1528525366064418,Risk Parity
MSFT,0.0809387944950358,Risk Parity
AMZN,0.0580102603524949,Risk Parity
JPM,0.0573670252013609,Risk Parity
XOM,0.1750232480966891,Risk Parity
SPY,0.1111111111111111,Equal Weight
QQQ,0.1111111111111111,Equal Weight
TLT,0.1111111111111111,Equal Weight
GLD,0.1111111111111111,Equal Weight
AAPL,0.1111111111111111,Equal Weight
MSFT,0.1111111111111111,Equal Weight
AMZN,0.1111111111111111,Equal Weight
JPM,0.1111111111111111,Equal Weight
XOM,0.1111111111111111,Equal Weight
