Asset,Metric,Value
0,var_95_daily,0.0112801725660327
1,var_95_daily,0.0150437066831449
2,var_95_daily,0.0158681399743627
3,var_95_daily,0.0105428783035783
4,var_95_daily,0.0173492731463508
5,var_95_daily,0.0192045414459765
6,var_95_daily,0.0237747976634206
7,var_95_daily,0.0153049901241461
8,var_95_daily,0.0181203726315108
0,cvar_95_daily,0.0157628240189923
1,cvar_95_daily,0.0217102936057726
2,cvar_95_daily,0.0206857954579878
3,cvar_95_daily,0.0158272545785932
4,cvar_95_daily,0.0262939736238421
5,cvar_95_daily,0.0275435612079543
6,cvar_95_daily,0.035427305079852
7,cvar_95_daily,0.0279637847038653
8,cvar_95_daily,0.0280553279704639
0,skewness,10.322242792584484
1,skewness,7.054501051131219
2,skewness,1.847785777908581
3,skewness,2.910836335722605
4,skewness,0.5260672410566466
5,skewness,2.681624985922158
6,skewness,4.175347544528763
7,skewness,10.803929815446908
8,skewness,-0.0039470418981472
0,excess_kurtosis,181.9498334398
1,excess_kurtosis,110.36728393938117
2,excess_kurtosis,22.165833238440698
3,excess_kurtosis,33.548372311599
4,excess_kurtosis,7.0683156272516
5,excess_kurtosis,31.879811589618456
6,excess_kurtosis,54.9679489883966
7,excess_kurtosis,194.28017975107835
8,excess_kurtosis,3.3724341471506767
